table with row headers in column B and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,,,,,,
"Annual Estimates of the Resident Population for Incorporated Places of 20,000 or More, Ranked by July 1, 2024 Population: April 1, 2020 to July 1, 2024",,,,,,,,,,,,,,,,,,
Rank,Geographic Area,"April 1, 2020
Estimates Base",Population Estimate (as of July 1),,,,,,,,,,,,,,,
,,,2020,2021,2022,2023,2024,,,,,,,,,,,
1248,"Sanford city, North Carolina","30,197","30,231","30,571","31,337","32,228","32,971",,,,,,,,,,,
1249,"Laramie city, Wyoming","31,413","31,432","31,996","32,340","32,441","32,957",,,,,,,,,,,
1250,"Los Gatos town, California","33,542","33,418","32,521","32,411","32,590","32,952",,,,,,,,,,,
1251,"Savage city, Minnesota","32,453","32,578","33,023","32,935","33,031","32,896",,,,,,,,,,,
1252,"Glendale Heights village, Illinois","33,179","33,100","32,810","32,599","32,652","32,866",,,,,,,,,,,
1253,"McDonough city, Georgia","29,085","29,356","29,941","30,380","32,203","32,803",,,,,,,,,,,
1254,"Massillon city, Ohio","32,039","32,048","32,146","32,254","32,454","32,750",,,,,,,,,,,
1255,"Aiken city, South Carolina","32,126","32,158","32,302","32,507","32,948","32,694",,,,,,,,,,,
1256,"Foster City city, California","33,809","33,737","32,742","32,453","32,442","32,657",,,,,,,,,,,
1257,"Mundelein village, Illinois","31,576","31,539","31,590","31,746","32,038","32,641",,,,,,,,,,,
1258,"Morrisville town, North Carolina","29,811","30,072","31,416","31,647","32,080","32,628",,,,,,,,,,,
1259,"Goleta city, California","32,692","32,762","32,727","32,669","32,664","32,611",,,,,,,,,,,
1260,"Athens city, Alabama","25,434","25,733","27,070","28,648","30,946","32,587",,,,,,,,,,,
1261,"Dana Point city, California","33,108","33,067","32,829","32,757","32,644","32,585",,,,,,,,,,,
1262,"Bangor city, Maine","31,740","31,720","31,505","31,607","32,400","32,446",,,,,,,,,,,
1263,"Cottonwood Heights city, Utah","33,612","33,519","32,917","32,638","32,568","32,437",,,,,,,,,,,
1264,"Nacogdoches city, Texas","32,153","32,115","32,061","32,042","32,413","32,381",,,,,,,,,,,
1265,"Bethel Park municipality, Pennsylvania","33,565","33,515","33,177","32,788","32,531","32,376",,,,,,,,,,,
1266,"Maryville city, Tennessee","31,920","32,012","32,319","32,692","32,442","32,373",,,,,,,,,,,
1267,"Chamblee city, Georgia","30,150","30,212","29,847","29,934","32,029","32,321",,,,,,,,,,,
1268,"Poughkeepsie city, New York","31,593","31,568","32,046","31,967","31,882","32,293",,,,,,,,,,,
1269,"Atwater city, California","31,975","31,939","32,159","32,282","32,205","32,248",,,,,,,,,,,
1270,"O'Fallon city, Illinois","32,432","32,413","32,389","32,247","32,186","32,169",,,,,,,,,,,
1271,"West Bend city, Wisconsin","31,746","31,745","31,848","32,222","32,226","32,149",,,,,,,,,,,
1272,"Naugatuck borough, Connecticut","31,581","31,494","31,627","31,725","31,947","32,116",,,,,,,,,,,
1273,"Shawnee city, Oklahoma","31,274","31,311","31,547","31,649","31,818","32,092",,,,,,,,,,,
1274,"Bay City city, Michigan","32,666","32,620","32,456","32,256","32,179","32,086",,,,,,,,,,,
1275,"Westfield town, New Jersey","31,039","30,898","30,843","30,755","31,064","32,050",,,,,,,,,,,
1276,"Matthews town, North Carolina","29,427","29,520","29,605","30,577","31,246","32,048",,,,,,,,,,,
1277,"Wheat Ridge city, Colorado","32,401","32,383","32,333","31,897","31,880","31,999",,,,,,,,,,,
1277,"Carlsbad city, New Mexico","32,216","32,264","31,629","31,302","31,480","31,999",,,,,,,,,,,
1279,"Rome city, New York","32,125","31,888","31,715","31,707","31,721","31,990",,,,,,,,,,,
1280,"Anna city, Texas","17,073","17,552","20,389","23,765","27,909","31,986",,,,,,,,,,,
1281,"Bell city, California","33,561","33,449","32,713","32,286","32,041","31,930",,,,,,,,,,,
1282,"Banning city, California","29,515","29,820","30,781","31,221","31,599","31,929",,,,,,,,,,,
1283,"Lawrenceville city, Georgia","30,634","30,542","30,297","30,717","31,224","31,877",,,,,,,,,,,
1284,"Elk Grove Village village, Illinois","32,821","32,697","32,114","31,702","31,599","31,802",,,,,,,,,,,
1285,"Santa Paula city, California","30,680","30,780","31,160","31,478","31,671","31,786",,,,,,,,,,,
1286,"Brooklyn Center city, Minnesota","33,782","33,660","32,920","32,286","31,814","31,755",,,,,,,,,,,
1287,"Fairbanks city, Alaska","32,518","32,408","32,180","32,005","32,007","31,732",,,,,,,,,,,
1287,"Clayton town, North Carolina","26,321","26,698","28,370","29,465","30,325","31,732",,,,,,,,,,,
1289,"Bixby city, Oklahoma","28,595","28,719","29,185","29,853","30,828","31,728",,,,,,,,,,,
1290,"Statesville city, North Carolina","28,463","28,599","29,195","29,725","30,310","31,693",,,,,,,,,,,
1291,"North Olmsted city, Ohio","32,439","32,379","32,068","31,792","31,686","31,690",,,,,,,,,,,
1292,"Houma city, Louisiana","33,411","33,346","33,134","32,034","31,797","31,671",,,,,,,,,,,
1293,"Alamogordo city, New Mexico","30,933","30,942","31,196","31,230","31,531","31,667",,,,,,,,,,,
1294,"Casselberry city, Florida","28,775","28,940","29,122","30,037","30,902","31,650",,,,,,,,,,,
1295,"Juneau city and borough, Alaska","32,250","32,203","31,972","31,742","31,483","31,572",,,,,,,,,,,
1296,"El Paso de Robles (Paso Robles) city, California","31,497","31,489","31,540","31,355","31,329","31,568",,,,,,,,,,,
1297,"San Pablo city, California","32,125","32,099","31,877","31,606","31,461","31,562",,,,,,,,,,,
1298,"Seaside city, California","32,381","32,335","32,047","31,609","31,553","31,524",,,,,,,,,,,
1299,"Southlake city, Texas","31,268","31,260","31,128","31,198","31,366","31,500",,,,,,,,,,,
1300,"Northport city, Alabama","31,198","31,208","31,010","31,043","31,212","31,492",,,,,,,,,,,
1301,"Michigan City city, Indiana","32,070","32,021","32,066","31,834","31,630","31,466",,,,,,,,,,,
1302,"Princeton, New Jersey","30,689","30,629","30,552","30,436","30,630","31,445",,,,,,,,,,,
1303,"Rockledge city, Florida","27,683","27,706","28,346","28,546","29,575","31,429",,,,,,,,,,,
1304,"Converse city, Texas","27,712","27,864","28,695","29,663","30,455","31,400",,,,,,,,,,,
1305,"Magna metro township, Utah","29,251","29,262","29,251","29,790","30,421","31,381",,,,,,,,,,,
1306,"West Melbourne city, Florida","25,934","26,579","27,906","28,884","29,257","31,378",,,,,,,,,,,
1307,"Harrison village, New York","28,207","28,148","29,687","29,612","31,084","31,321",,,,,,,,,,,
1308,"Northampton city, Massachusetts","29,567","29,279","31,465","31,397","31,384","31,315",,,,,,,,,,,
1309,"Kalispell city, Montana","25,078","25,267","26,828","28,919","30,171","31,296",,,,,,,,,,,
1310,"Pekin city, Illinois","31,890","31,823","31,618","31,343","31,290","31,266",,,,,,,,,,,
1311,"Liberty city, Missouri","30,158","30,224","30,335","30,777","30,836","31,245",,,,,,,,,,,
1312,"North Attleborough Town city, Massachusetts","30,823","30,810","30,893","30,970","31,068","31,210",,,,,,,,,,,
1313,"Pooler city, Georgia","25,611","25,678","27,002","28,771","29,637","31,171",,,,,,,,,,,
1314,"Ballwin city, Missouri","31,694","31,665","31,450","31,174","31,037","31,036",,,,,,,,,,,
1315,"Beverly Hills city, California","32,699","32,580","31,886","31,453","31,173","31,027",,,,,,,,,,,
1316,"Port Chester village, New York","31,747","31,574","31,328","30,926","30,776","30,957",,,,,,,,,,,
1317,"Anderson city, South Carolina","29,441","29,458","29,562","29,968","30,396","30,937",,,,,,,,,,,
1318,"Jackson city, Michigan","31,314","31,307","31,196","30,987","30,930","30,920",,,,,,,,,,,
1319,"North Royalton city, Ohio","31,328","31,285","31,044","30,856","30,823","30,894",,,,,,,,,,,
1320,"Burlingame city, California","31,385","31,279","30,209","29,976","30,277","30,885",,,,,,,,,,,
1321,"Los Altos city, California","31,466","31,351","30,558","30,344","30,460","30,864",,,,,,,,,,,
1322,"Winter Park city, Florida","29,805","30,019","29,789","30,190","30,522","30,835",,,,,,,,,,,
1323,"Hopkinsville city, Kentucky","31,169","31,169","30,966","30,832","30,849","30,800",,,,,,,,,,,
1324,"Highland Park city, Illinois","30,188","30,157","30,203","30,288","30,503","30,794",,,,,,,,,,,
1325,"Rahway city, New Jersey","29,550","29,671","29,975","29,835","30,302","30,763",,,,,,,,,,,
1326,"Daphne city, Alabama","27,472","27,694","28,745","29,666","30,391","30,751",,,,,,,,,,,
1327,"Enterprise city, Alabama","28,700","28,838","29,393","29,740","30,301","30,731",,,,,,,,,,,
1328,"Crestview city, Florida","27,426","27,533","27,834","28,320","29,453","30,727",,,,,,,,,,,
1329,"Paragould city, Arkansas","29,551","29,663","30,009","30,125","30,498","30,680",,,,,,,,,,,
1330,"Fridley city, Minnesota","29,580","29,579","30,378","30,333","30,212","30,679",,,,,,,,,,,
1331,"North Chicago city, Illinois","30,762","30,740","30,651","30,582","30,558","30,639",,,,,,,,,,,
1332,"Holladay city, Utah","31,960","31,866","31,396","30,957","30,641","30,588",,,,,,,,,,,
1333,"Lafayette city, Colorado","30,377","30,403","30,705","30,781","30,544","30,587",,,,,,,,,,,
1334,"Rosemount city, Minnesota","25,648","25,785","26,644","27,112","27,654","30,581",,,,,,,,,,,
1335,"Gurnee village, Illinois","30,716","30,657","30,555","30,437","30,431","30,546",,,,,,,,,,,
1336,"Algonquin village, Illinois","29,708","29,679","29,978","29,973","30,212","30,539",,,,,,,,,,,
1337,"Newark city, Delaware","30,621","30,598","29,876","30,176","30,315","30,506",,,,,,,,,,,
1338,"Gloucester city, Massachusetts","29,736","29,747","29,984","29,962","30,152","30,491",,,,,,,,,,,
1339,"Morgantown city, West Virginia","30,068","30,056","30,169","30,187","30,315","30,490",,,,,,,,,,,
1340,"Saratoga city, California","31,045","30,918","30,103","29,907","30,062","30,486",,,,,,,,,,,
1341,"Bowling Green city, Ohio","30,800","30,789","28,568","29,684","30,410","30,463",,,,,,,,,,,
1342,"Woodburn city, Oregon","26,093","26,068","26,183","27,377","29,273","30,449",,,,,,,,,,,
1343,"Oakdale city, Minnesota","28,298","28,270","28,032","27,857","28,276","30,441",,,,,,,,,,,
1344,"Easton city, Pennsylvania","28,127","28,087","30,202","29,579","30,368","30,432",,,,,,,,,,,
1345,"Laguna Hills city, California","31,367","31,310","30,966","30,662","30,418","30,378",,,,,,,,,,,
1346,"Hazleton city, Pennsylvania","29,939","29,916","30,059","30,047","30,181","30,354",,,,,,,,,,,
1347,"Laurel city, Maryland","30,067","29,983","29,559","29,560","29,685","30,238",,,,,,,,,,,
1348,"Englewood city, New Jersey","29,309","29,232","29,162","29,686","29,897","30,221",,,,,,,,,,,
1349,"Independence city, Kentucky","28,690","28,786","29,098","29,343","29,664","30,196",,,,,,,,,,,
1350,"La Verne city, California","31,589","31,480","30,805","30,378","30,178","30,192",,,,,,,,,,,
1351,"Middletown city, New York","30,361","30,301","30,453","30,298","30,258","30,188",,,,,,,,,,,
1352,"Chaska city, Minnesota","27,807","27,875","28,094","28,306","29,064","30,167",,,,,,,,,,,
1353,"Central city, Louisiana","29,569","29,563","29,585","29,745","29,923","30,161",,,,,,,,,,,
1354,"Lawndale city, California","31,821","31,730","31,073","30,626","30,333","30,160",,,,,,,,,,,
1355,"Fredericksburg city, Virginia","27,976","27,995","28,445","28,709","29,226","29,992",,,,,,,,,,,
1356,"North Tonawanda city, New York","30,495","30,433","30,404","30,181","30,053","29,981",,,,,,,,,,,
1357,"Melrose city, Massachusetts","29,821","29,740","29,408","29,491","29,673","29,938",,,,,,,,,,,
1358,"Niles village, Illinois","30,905","30,789","30,231","29,843","29,739","29,918",,,,,,,,,,,
1359,"Venice city, Florida","25,466","25,599","26,289","27,373","28,325","29,902",,,,,,,,,,,
1360,"Alvin city, Texas","27,057","27,143","27,564","28,273","28,805","29,869",,,,,,,,,,,
1361,"Schererville town, Indiana","29,660","29,663","29,722","29,691","29,656","29,780",,,,,,,,,,,
1362,"Mauldin city, South Carolina","24,755","24,786","25,682","26,903","28,113","29,746",,,,,,,,,,,
1363,"Atascadero city, California","29,777","29,746","29,754","29,692","29,692","29,743",,,,,,,,,,,
1364,"Conway city, South Carolina","25,035","25,176","25,735","27,476","28,293","29,656",,,,,,,,,,,
1365,"Suisun City city, California","29,517","29,478","29,263","28,994","29,096","29,614",,,,,,,,,,,
1366,"Fountain city, Colorado","29,801","29,887","29,713","28,958","28,574","29,457",,,,,,,,,,,
1367,"Russellville city, Arkansas","28,931","28,948","28,980","29,084","29,371","29,442",,,,,,,,,,,
1368,"Burton city, Michigan","29,709","29,669","29,574","29,462","29,402","29,420",,,,,,,,,,,
1369,"Hobart city, Indiana","29,741","29,719","29,594","29,480","29,400","29,418",,,,,,,,,,,
1370,"San Carlos city, California","30,734","30,648","29,634","29,244","29,182","29,403",,,,,,,,,,,
1371,"Oak Park city, Michigan","29,570","29,490","29,338","29,201","29,190","29,402",,,,,,,,,,,
1372,"Jeffersontown city, Kentucky","29,322","29,271","29,127","29,122","29,212","29,388",,,,,,,,,,,
1373,"Kirkwood city, Missouri","29,469","29,457","29,395","29,317","29,283","29,348",,,,,,,,,,,
1374,"East Palo Alto city, California","30,035","29,944","28,911","28,529","28,687","29,296",,,,,,,,,,,
1375,"Galesburg city, Illinois","30,042","29,942","29,646","29,292","29,260","29,289",,,,,,,,,,,
1376,"Marysville city, Ohio","25,585","25,702","26,589","27,153","28,455","29,276",,,,,,,,,,,
1377,"Raytown city, Missouri","30,013","29,947","29,621","29,283","29,136","29,244",,,,,,,,,,,
1378,"Bridgewater Town city, Massachusetts","28,627","26,788","28,604","28,816","28,951","29,167",,,,,,,,,,,
1379,"Jacksonville city, Arkansas","29,483","29,504","29,233","29,154","29,072","29,129",,,,,,,,,,,
1380,"Kuna city, Idaho","24,080","24,515","26,645","27,328","28,153","29,127",,,,,,,,,,,
1381,"Southgate city, Michigan","30,015","29,902","29,551","29,257","29,070","29,081",,,,,,,,,,,
1382,"West Springfield Town city, Massachusetts","28,832","28,767","28,657","28,521","28,929","29,028",,,,,,,,,,,
1383,"Monterey city, California","30,226","30,196","29,885","29,666","29,273","29,015",,,,,,,,,,,
1384,"Garfield Heights city, Ohio","29,791","29,729","29,414","29,143","29,032","29,014",,,,,,,,,,,
1385,"Ramsey city, Minnesota","27,636","27,813","28,213","28,378","28,610","28,999",,,,,,,,,,,
1386,"Happy Valley city, Oregon","23,799","24,098","25,741","26,483","28,495","28,969",,,,,,,,,,,
1387,"Bergenfield borough, New Jersey","28,340","28,311","28,252","28,316","28,541","28,921",,,,,,,,,,,
1388,"Texarkana city, Arkansas","29,391","29,380","29,218","29,254","29,139","28,897",,,,,,,,,,,
1389,"Glen Ellyn village, Illinois","28,997","28,941","28,724","28,567","28,634","28,872",,,,,,,,,,,
1390,"Parkersburg city, West Virginia","29,749","29,673","29,468","29,205","28,991","28,834",,,,,,,,,,,
1391,"McHenry city, Illinois","27,323","27,349","27,611","28,262","28,302","28,825",,,,,,,,,,,
1391,"Mint Hill town, North Carolina","26,449","26,532","26,680","27,499","28,104","28,825",,,,,,,,,,,
1393,"Williston city, North Dakota","29,169","29,318","27,361","26,952","27,831","28,821",,,,,,,,,,,
1394,"Eagle Pass city, Texas","28,152","28,154","28,119","28,224","28,463","28,768",,,,,,,,,,,
1395,"Kernersville town, North Carolina","26,521","26,579","26,893","27,856","28,146","28,760",,,,,,,,,,,
1396,"Agawam Town city, Massachusetts","28,692","28,627","28,447","28,362","28,454","28,749",,,,,,,,,,,
1397,"Saratoga Springs city, New York","28,511","28,551","28,715","28,593","28,573","28,741",,,,,,,,,,,
1398,"Lake in the Hills village, Illinois","28,984","28,927","28,974","28,711","28,709","28,706",,,,,,,,,,,
1399,"Shaker Heights city, Ohio","29,448","29,382","29,058","28,790","28,679","28,689",,,,,,,,,,,
1400,"Madison Heights city, Michigan","28,466","28,395","28,256","28,401","28,385","28,626",,,,,,,,,,,
1401,"Frankfort city, Kentucky","28,609","28,612","28,567","28,403","28,396","28,610",,,,,,,,,,,
1402,"Burbank city, Illinois","29,461","29,352","28,843","28,483","28,406","28,606",,,,,,,,,,,
1403,"Sugar Hill city, Georgia","25,075","25,135","25,293","25,532","26,111","28,598",,,,,,,,,,,
1404,"Maple Valley city, Washington","28,010","28,086","28,246","28,317","28,282","28,553",,,,,,,,,,,
1405,"Palm Springs village, Florida","26,868","26,881","26,747","27,066","27,554","28,548",,,,,,,,,,,
1406,"Huntley village, Illinois","27,746","27,769","28,015","28,152","28,334","28,495",,,,,,,,,,,
1407,"New Lenox village, Illinois","27,206","27,243","27,505","27,633","28,130","28,480",,,,,,,,,,,
1408,"Pearl city, Mississippi","27,061","27,091","27,312","27,698","28,151","28,458",,,,,,,,,,,
1409,"Slidell city, Louisiana","28,688","28,629","28,737","28,601","28,470","28,440",,,,,,,,,,,
1410,"Ridgecrest city, California","27,960","27,994","28,223","28,233","28,212","28,373",,,,,,,,,,,
1411,"Port Huron city, Michigan","28,974","28,935","28,859","28,602","28,473","28,342",,,,,,,,,,,
1412,"Carrollton city, Georgia","26,798","26,797","26,797","27,334","27,805","28,306",,,,,,,,,,,
1413,"Marion city, Indiana","28,321","28,253","28,122","28,030","28,154","28,216",,,,,,,,,,,
1414,"Madison city, Mississippi","27,749","27,757","27,736","27,919","28,123","28,210",,,,,,,,,,,
1415,"Union City city, Georgia","26,858","27,082","27,410","27,975","27,988","28,195",,,,,,,,,,,
1416,"Fremont city, Nebraska","27,135","27,122","27,342","27,407","27,815","28,190",,,,,,,,,,,
1417,"Brawley city, California","26,521","26,510","26,679","27,262","27,818","28,188",,,,,,,,,,,
1418,"Mount Pleasant village, Wisconsin","27,725","27,755","27,769","27,890","28,154","28,184",,,,,,,,,,,
1419,"Newburgh city, New York","28,864","28,775","28,834","28,504","28,260","28,181",,,,,,,,,,,
1420,"Lake Jackson city, Texas","28,182","28,148","27,900","27,739","27,926","28,158",,,,,,,,,,,
1421,"Lansing village, Illinois","29,079","28,964","28,423","28,040","27,938","28,107",,,,,,,,,,,
1422,"Glen Cove city, New York","28,372","28,231","28,169","28,068","27,973","28,088",,,,,,,,,,,
1423,"New London city, Connecticut","27,371","26,789","27,330","27,945","28,036","28,081",,,,,,,,,,,
1424,"Simpsonville city, South Carolina","23,385","23,605","24,748","26,778","27,605","28,078",,,,,,,,,,,
1425,"Foley city, Alabama","20,622","20,885","22,300","23,797","25,031","28,043",,,,,,,,,,,
1426,"Tualatin city, Oregon","27,947","27,884","27,599","27,799","27,580","28,036",,,,,,,,,,,
1427,"Prior Lake city, Minnesota","27,613","27,628","28,141","28,171","28,056","28,018",,,,,,,,,,,
1428,"Garden City city, Kansas","28,151","28,032","27,851","27,523","27,749","27,996",,,,,,,,,,,
1429,"Danville city, Illinois","29,204","29,127","28,798","28,372","28,161","27,981",,,,,,,,,,,
1430,"Monroeville municipality, Pennsylvania","28,646","28,653","28,403","28,279","28,086","27,966",,,,,,,,,,,
1431,"Asheboro city, North Carolina","27,195","27,243","27,377","27,542","27,754","27,928",,,,,,,,,,,
